reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,notifying,operator,origin,hazards
"2022.5224","fish and products thereof ","food","Ruptura de la cadena de frío en pulpo y pescado congelado de Mauritania. Poor temperature contron in octopus and frozen fish from Mauritania ","08-09-2022 15:36:09","Spain","border rejection notification","undecided","","","","","","",""
"2022.5202","animal by-products","feed","Enterobacertiaceae and Salmonella spp. in raw pet food for fish from Thailand","07-09-2022 16:10:15","Germany","border rejection notification","serious","","","","","","",""
"2022.5121","fish and products thereof ","food","Mini Drops DHA Omega-3 (Fish Oil)","05-09-2022 11:54:32","Cyprus","border rejection notification","not serious","","","","","","",""
"2022.5055","crustaceans and products thereof","food","Suspicion of salmonella in crayfish from China","31-08-2022 17:04:20","Sweden","information notification for attention","serious","","","","","","",""
"2022.5012","fish and products thereof ","food","Unauthorised substances malachite green and leucomalachite green  in frozen salted snake head fish from Thailand","30-08-2022 16:43:20","France","information notification for attention","serious","","","","","","",""
"2022.4848","fish and products thereof ","food","Mercury in Swordfish","22-08-2022 15:12:51","Belgium","information notification for attention","undecided","","","","","","",""
"2022.4808","crustaceans and products thereof","food","Salmonella in crayfish from China","18-08-2022 17:00:20","Sweden","border rejection notification","serious","","","","","","",""
"2022.4806","crustaceans and products thereof","food","Salmonella enterica ser. Liverpool in frozen crayfish (Procambarus clarkii) from China","18-08-2022 16:43:55","Sweden","border rejection notification","serious","","","","","","",""
"2022.4804","crustaceans and products thereof","food","Salmonella in crayfish from China","18-08-2022 16:35:14","Sweden","border rejection notification","serious","","","","","","",""
"2022.4786","crustaceans and products thereof","food","Salmonella enterica ser. Liverpool in frozen crayfish from China","17-08-2022 17:48:21","Sweden","border rejection notification","serious","","","","","","",""
"2022.4776","fish and products thereof ","food","Mercury in swordfish from Spain","17-08-2022 15:00:54","Netherlands","alert notification","serious","","","","","","",""
"2022.4769","crustaceans and products thereof","food","Salmonella enterica ser. Liverpool in frozen crayfish from China","17-08-2022 12:21:22","Sweden","border rejection notification","serious","","","","","","",""
"2022.4763","fish and products thereof ","food","Presence of Anisakis spp in silver scabbardfish (Lepidopus caudatus) from Morocco","17-08-2022 11:16:21","Spain","border rejection notification","not serious","","","","","","",""
"2022.4691","crustaceans and products thereof","food","Salmonella in crayfish","11-08-2022 17:43:05","Sweden","border rejection notification","serious","","","","","","",""
"2022.4586","feed materials","feed","Ruminant DNA in fish feed","05-08-2022 11:48:28","Cyprus","information notification for follow-up","not serious","","","","","","",""
"2022.4576","fish and products thereof ","food","Increased content of biogenic amines in dried fish from Gambia ","05-08-2022 09:52:03","Germany","alert notification","serious","","","","","","",""
"2022.4536","fish and products thereof ","food","Salmonella in cooked frozen crayfish from China","03-08-2022 16:49:23","Sweden","border rejection notification","serious","","","","","","",""
"2022.4398","fish and products thereof ","food","Unauthorised substance malachite green in frozen catfish (Clarias macrocephalus) from Vietnam","28-07-2022 12:51:57","France","alert notification","serious","","","","","","",""
"2022.4275","fish and products thereof ","food","poor temperature control of frozen yellowfin tuna (Thunnus albacares) and swordfish (Xiphias gladius) from India","21-07-2022 13:43:24","Spain","border rejection notification","undecided","","","","","","",""
"2022.4181","fish and products thereof ","food","Presence of Anisakis in scabbard fish from Malta","18-07-2022 10:53:36","Italy","information notification for attention","not serious","","","","","","",""
"2022.3848","fish and products thereof ","food","High levels of Mercury (Hg) in frozen swordfish from Spain","01-07-2022 16:28:34","Italy","alert notification","serious","","","","","","",""
"2022.3798","cephalopods and products thereof","food","Seppia indopacifica decongelata - presenza di cadmio oltre i limiti/Cadmium in frozen cuttlefish (Sepia pharaonis) from Spain made with raw material from India","30-06-2022 09:46:33","Italy","information notification for attention","serious","","","","","","",""
"2022.3761","feed materials","feed","ruminant DNA in fish feed from Spain","28-06-2022 16:32:53","Cyprus","information notification for follow-up","not serious","","","","","","",""
"2022.3712","fish and products thereof ","food","High levels of Mercury (Hg) in frozen swordfish","24-06-2022 15:31:05","Italy","alert notification","serious","","","","","","",""
