reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,notifying,operator,origin,hazards
"2021.5992","fish and products thereof ","food","Listeria monocitogenes in baccalà mantecato //Listeria monocytogenes in whipped codfish","05-11-2021 12:53:19","Italy","alert notification","serious","","","","","","",""
"2021.5873","fish and products thereof ","food","Mercury in swordfish from Sri Lanka","29-10-2021 16:39:20","Germany","information notification for attention","serious","","","","","","",""
"2021.5859","fish and products thereof ","food","Anisakis spp, producto de la pesca, Marruecos // Anisakis spp, fish product, Morocco","29-10-2021 13:52:52","Spain","border rejection notification","not serious","","","","","","",""
"2021.5216","fish and products thereof ","food","Mercancía sin declarar en el Certificado, falta de marca de identificación, productos de la pesca, Uruguay // Undeclared merchandise in the Certificate, lack of identification mark, fishery products, Uruguay","29-10-2021 10:10:22","Spain","border rejection notification","not serious","","","","","","",""
"2021.5739","feed materials","feed","Salmonella in fishmeal from Denmark","22-10-2021 16:51:33","Belgium","information notification for follow-up","not serious","","","","","","",""
"2021.5558","fish and products thereof ","food","Canned Fish Products without English Labelling from Poland","14-10-2021 16:48:31","Ireland","information notification for follow-up","undecided","","","","","","",""
"2021.5556","fish and products thereof ","food","mercury in frozen swordfish (Xiphias gladius) from Spain","14-10-2021 15:59:46","Italy","alert notification","serious","","","","","","",""
"2021.5527","fish and products thereof ","food","Anisakis in chilled silver scabbardfish (Lepidopus caudatus) from Morocco","13-10-2021 15:34:34","Spain","border rejection notification","not serious","","","","","","",""
"2021.5522","feed materials","feed","lead in fish meal from Latvia","13-10-2021 13:54:53","Austria","information notification for follow-up","undecided","","","","","","",""
"2021.5445","fish and products thereof ","food","Mercury in chilled swordfish from Spain","08-10-2021 18:25:34","Spain","information notification for attention","serious","","","","","","",""
"2021.5383","fish and products thereof ","food","mercury in chilled swordfish (Xiphias gladius) from France","06-10-2021 17:34:55","Italy","alert notification","serious","","","","","","",""
"2021.5297","feed materials","feed","Salmonella enterica ser. Chester in fishmeal pellets for farmed salmon from the United Kingdom","04-10-2021 13:05:18","Denmark","border rejection notification","not serious","","","","","","",""
"2021.5213","fish and products thereof ","food","Mercury in chilled swordfish (Xiphias gladius) from Spain","29-09-2021 14:15:28","France","information notification for attention","serious","","","","","","",""
"2021.5086","feed materials","feed","Salmonella in fish meal from the United States","23-09-2021 15:44:31","Denmark","border rejection notification","not serious","","","","","","",""
"2021.5078","fish and products thereof ","food","Mercury in chilled swordfish loins (Xiphias gladius) from Sri Lanka","23-09-2021 14:35:13","Belgium","border rejection notification","serious","","","","","","",""
"2021.5063","feed materials","feed","Salmonella spp. in fishmeal from USA","22-09-2021 15:57:25","Denmark","border rejection notification","not serious","","","","","","",""
"2021.5006","fish and products thereof ","food","Mercury beyond the limits in frozen swordfish from South Korea","20-09-2021 17:05:21","Italy","alert notification","serious","","","","","","",""
"2021.4973","fish and products thereof ","food","Mercury in swordfish from Sri Lanka","17-09-2021 12:24:53","Belgium","information notification for attention","serious","","","","","","",""
"2021.4956","fish and products thereof ","food","Mercury in frozen swordfish loins from South Korea","16-09-2021 16:44:53","Italy","information notification for attention","serious","","","","","","",""
"2021.4954","fish and products thereof ","food","Pieces of glass in canned fish from Morocco","16-09-2021 16:24:47","Croatia","information notification for attention","serious","","","","","","",""
"2021.4945","fish and products thereof ","food","unauthorised establishment for chilled fish from New Zealand","16-09-2021 11:59:23","Cyprus","border rejection notification","no risk","","","","","","",""
"2021.4904","compound feeds","feed","PRESENCE OF RUMINANT DNA IN FISH FEED FROM SPAIN","14-09-2021 14:27:02","Cyprus","information notification for follow-up","not serious","","","","","","",""
"2021.4834","bivalve molluscs and products thereof","food","Diarrhoeic Shellfish Poisoning (DSP) toxins - okadaic acid (292 µg/kg - ppb) in live mussels (Mytilus galloprovincialis) from Spain, purified in Italy","10-09-2021 11:29:25","Italy","information notification for attention","serious","","","","","","",""
"2021.4780","fish and products thereof ","food","Mercury in swordfish from Spain ","07-09-2021 16:04:29","Netherlands","alert notification","serious","","","","","","",""
"2021.4773","feed materials","feed","Unauthorized substance ethoxyquin in feed for fish from Spain","07-09-2021 14:07:03","Germany","information notification for follow-up","undecided","","","","","","",""
"2021.4478","fish and products thereof ","food","cadmium  and mercury in Fresh sword fish loins from Sri Lanka","20-08-2021 15:04:48","France","information notification for attention","serious","","","","","","",""
"2021.4476","fish and products thereof ","food","Mercury in Swordfish from Spain","20-08-2021 14:30:31","Italy","alert notification","serious","","","","","","",""
"2021.4464","fish and products thereof ","food","Fresh sword fish loins - presence of mercury and cadmium","20-08-2021 09:21:38","France","information notification for attention","serious","","","","","","",""
"2021.4434","fish and products thereof ","food","Pescados y cefalópodos frescos, con documentación inadecuada, de Marruecos / Fresh fish and cephalopods, with inadequate documentation, from Morocco","19-08-2021 11:13:06","Spain","border rejection notification","not serious","","","","","","",""
"2021.4367","fish and products thereof ","food","Fresh fish (Merluccius spp y Lepidopus caudatus ), with anisakis, from Morocco","16-08-2021 14:32:21","Spain","border rejection notification","undecided","","","","","","",""
"2021.4297","fish and products thereof ","food","mercurio in pesce spada congelato dalla Spagna//mercury in frozen swordfish from Spain","11-08-2021 16:23:44","Italy","alert notification","serious","","","","","","",""
"2021.4275","crustaceans and products thereof","food","Residues of chloramphenicol in crayfish from China","11-08-2021 10:48:33","Belgium","border rejection notification","serious","","","","","","",""
"2021.4255","bivalve molluscs and products thereof","food","suspicion of Diarrhoeic Shellfish Poisoning (DSP) toxins in tellins from France","10-08-2021 12:52:19","France","information notification for attention","serious","","","","","","",""
"2021.4226","feed materials","feed","dioxins in fish meal","09-08-2021 09:49:06","Latvia","information notification for follow-up","not serious","","","","","","",""
